ID	CodeID	No	Name	TeamID	Team	Pos
19067	alabi-james	28	Alabi, James	mansfield-town	Mansfield Town	F
19528	arestidou-andres	25	Arestidou, Andres	morecambe	Morecambe	G
19091	allen-jamie	21	Allen, Jamie	fleetwood-town	Fleetwood Town	M
19553	amond-padraig	27	Amond, Padraig	morecambe	Morecambe	F
19588	antwi-will	14	Antwi, Will	afc-wimbledon	AFC Wimbledon	D
19441	anthony-byron	21	Anthony, Byron	newport-county	Newport County	D
19066	adelakun-hakeeb	16	Adelakun, Hakeeb	scunthorpe-united	Scunthorpe United	F
19211	atkinson-mike	26	Atkinson, Mike	york-city	York City	D
19288	azeez-adebayo	23	Azeez, Adebayo	torquay-united	Torquay United	F
19656	arnold-nick	23	Arnold, Nick	wycombe-wanderers	Wycombe Wanderers	D
19221	allen-tom	20	Allen, Tom	york-city	York City	M
19664	ainsworth-gareth	40	Ainsworth, Gareth	wycombe-wanderers	Wycombe Wanderers	M
19229	andrew-calvin	24	Andrew, Calvin	mansfield-town	Mansfield Town	F
19471	atkinson-robert	25	Atkinson, Robert	accrington-stanley	Accrington Stanley	D
19600	arthur-chris	19	Arthur, Chris	afc-wimbledon	AFC Wimbledon	M
19261	ashby-josh	38	Ashby, Josh	oxford-united	Oxford United	F
19267	anderson-lloyd	30	Anderson, Lloyd	dagenham-redbridge	Dagenham & Redbridge	G
19202	alexander-gary	9	Alexander, Gary	burton-albion	Burton Albion	F
19324	alessandra-lewis	7	Alessandra, Lewis	plymouth-argyle	Plymouth Argyle	F
19450	amdi-holloway-aaron	24	Amdi-Holloway, Aaron	newport-county	Newport County	M
19166	auger-ryan	24	Auger, Ryan	southend-united	Southend United 	M
19561	austin-neil	2	Austin, Neil	hartlepool-united	Hartlepool United	D
15655	appiah-kwesi	37	Appiah, Kwesi	afc-wimbledon	AFC Wimbledon	F
19165	atkinson-will	12	Atkinson, Will	southend-united	Southend United 	M
19428	agyemang-patrick	23	Agyemang, Patrick	portsmouth	Portsmouth	F
19416	awford-nick	24	Awford, Nick	portsmouth	Portsmouth	M
15779	alfei-daniel	15	Alfei, Daniel	portsmouth	Portsmouth	D
19481	aldred-tom	5	Aldred, Tom	accrington-stanley	Accrington Stanley	M
19103	bunny-joe	39	Bunny, Joe	rochdale	Rochdale	F
19113	barton-adam	29	Barton, Adam	fleetwood-town	Fleetwood Town	D
19124	blair-matty	32	Blair, Matty	northampton-town	Northampton Town	M
19726	brundle-mitch	32	Brundle, Mitch	cheltenham-town	Cheltenham Town	M
19136	ball-david	23	Ball, David	fleetwood-town	Fleetwood Town	F
19146	bentley-daniel	17	Bentley, Daniel	southend-united	Southend United 	G
19149	banton-josh	27	Banton, Josh	southend-united	Southend United 	D
19150	bennett-julian	19	Bennett, Julian	southend-united	Southend United 	D
19151	bolger-cian	15	Bolger, Cian	southend-united	Southend United 	D
19429	barcham-andy	7	Barcham, Andy	portsmouth	Portsmouth	F
19167	bridge-jack	30	Bridge, Jack	southend-united	Southend United 	M
19503	butterfield-danny	2	Butterfield, Danny	exeter-city	Exeter City	D
19393	boswell-liam		Boswell, Liam	bury	Bury	F
19194	bell-lee	7	Bell, Lee	burton-albion	Burton Albion	M
19222	brobbell-ryan	27	Brobbell, Ryan	york-city	York City	M
19230	bowman-ryan	19	Bowman, Ryan	york-city	York City	F
19239	bevans-matt	34	Bevans, Matt	oxford-united	Oxford United	D
19407	bird-ryan	18	Bird, Ryan	portsmouth	Portsmouth	D
19289	bingham-billy	6	Bingham, Billy	dagenham-redbridge	Dagenham & Redbridge	F
19303	bencherif-hamza	20	Bencherif, Hamza	plymouth-argyle	Plymouth Argyle	D
19304	berry-durrell	2	Berry, Durrell	plymouth-argyle	Plymouth Argyle	D
